"gene" "CHROM" "Parallelism" "isShifting" "isPartiallyParallel" "isFullyParallel" "Parallel_category" "Annotation" "Putative_impact" "logFC" "abs_logFC" "significant_sg_pool" "highest_sg_pool" "significant_de_pool" "highest_de_pool" "common_pool" "hub_gene" "module_gene" "gene_chr" "gene_start" "gene_end" "net_selection" "direct_selection" "diff_selection" "log_net_selection" "log_direct_selection" "eQTL_carrier" "eQTL_carrier_category" "eQTL_phenotype" "eQTL_phenotype_category" "hub_gene_category" "Pleiotropy" "Pleiotropy_category" "Connectivity" "Connectivity_category"
"TC000215" "TC000215" "ChLG2" 1 1 0 0 "Single shift" "upstream_gene_variant" "MODIFIER" -0.257109788188077 0.257109788188077 0 0 0 0 0 0 1 "ChLG2" 19233957 19234340 -0.03233523276732 -4.62e-06 -0.03233061276732 -1.49032400840795 -5.33535802444387 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC000222" "TC000222" "ChLG2" 4 1 1 0 "Partial/full parallelism" "synonymous_variant" "LOW" -0.20115959570476 0.20115959570476 0 0 0 0 0 0 1 "ChLG2" 19133053 19140128 -2.51873446569734 -5.93e-06 -2.51872853569734 0.401182384980875 -5.22694530663574 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC000223" "TC000223" "ChLG2" 2 1 1 0 "Partial/full parallelism" "upstream_gene_variant" "MODIFIER" 0.0757594760680854 0.0757594760680854 0 0 0 0 0 0 1 "ChLG2" 19131383 19132759 -0.113851517244323 -3.89e-07 -0.113851128244323 -0.943661177376932 -6.41005039867429 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC000252" "TC000252" "ChLG2" 3 1 1 0 "Partial/full parallelism" "upstream_gene_variant" "MODIFIER" -0.0701330779966292 0.0701330779966292 0 0 0 0 0 0 1 "ChLG2" 18179346 18220107 0.092554845292077 2.12e-05 0.092533645292077 -1.03360084078432 -4.67366413907125 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC000287" "TC000287" "ChLG2" 3 1 1 0 "Partial/full parallelism" "missense_variant" "MODERATE" 0.147133783167256 0.147133783167256 0 0 0 0 0 0 1 "ChLG2" 16851692 16853364 -0.838539023497706 -1.55e-08 -0.838539007997706 -0.0764767216144122 -7.80966830182971 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC000290" "TC000290" "ChLG2" 2 1 1 0 "Partial/full parallelism" "missense_variant" "MODERATE" -0.081697519930972 0.081697519930972 0 0 0 0 0 0 1 "ChLG2" 16845541 16846292 -0.299763004182645 -7.19e-08 -0.299762932282645 -0.523221967454265 -7.14327110961712 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC000382" "TC000382" "ChLG2" 4 1 1 0 "Partial/full parallelism" "missense_variant" "MODERATE" -0.0662960170271298 0.0662960170271298 0 0 0 0 0 0 1 "ChLG2" 14838956 14846046 -0.072342286577081 -6.41e-05 -0.072278186577081 -1.14060776828501 -4.19314197048118 1 "eQTL carrier" 0 "Other" "Other" 1 "Single-phenotype eQTL carrier" 0 "Non-eQTL phenotype"
"TC000404" "TC000404" "ChLG2" 4 1 1 0 "Partial/full parallelism" "missense_variant" "MODERATE" -0.0264187142624494 0.0264187142624494 0 0 0 0 0 0 1 "ChLG2" 14504003 14507802 0.037194617346984 -8.44e-07 0.037195461346984 -1.42951990489344 -6.07365755337435 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC000445" "TC000445" "ChLG2" 2 1 1 0 "Partial/full parallelism" "synonymous_variant" "LOW" -0.374699089391269 0.374699089391269 0 0 0 0 0 0 1 "ChLG2" 13803000 13803264 0.179310975780227 -2.62e-06 0.179313595780227 -0.746393126082565 -5.58169870868025 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC000449" "TC000449" "ChLG2" 4 1 1 0 "Partial/full parallelism" "missense_variant" "MODERATE" -0.0719678598895174 0.0719678598895174 0 0 0 0 0 0 1 "ChLG2" 13743603 13747817 -1.51221144834325 -8.13e-07 -1.51221063534325 0.179612521607089 -6.08990945440593 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC000463" "TC000463" "ChLG2" 2 1 1 0 "Partial/full parallelism" "upstream_gene_variant" "MODIFIER" 0.101443755033755 0.101443755033755 0 0 0 0 0 0 1 "ChLG2" 13599314 13600655 0.098028493757047 -9.28e-06 0.098037773757047 -1.00864767040121 -5.03245202378114 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC000466" "TC000466" "ChLG2" 2 1 1 0 "Partial/full parallelism" "synonymous_variant" "LOW" -0.0672744048621815 0.0672744048621815 0 0 0 0 0 0 1 "ChLG2" 13530975 13532288 -0.008948182429011 -1.47e-06 -0.008946712429011 -2.0482651704063 -5.83268266525182 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC000476" "TC000476" "ChLG2" 2 1 1 0 "Partial/full parallelism" "synonymous_variant" "LOW" -0.0834092652023815 0.0834092652023815 0 0 0 0 0 0 1 "ChLG2" 13435282 13436102 -0.875344643769339 -5.93e-07 -0.875344050769339 -0.0578209213574315 -6.22694530663574 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC000477" "TC000477" "ChLG2" 2 1 1 0 "Partial/full parallelism" "upstream_gene_variant" "MODIFIER" 0.106835528465031 0.106835528465031 0 0 0 0 0 0 1 "ChLG2" 13433318 13434842 0.074264621085569 -1.3e-05 0.074277621085569 -1.12921803047315 -4.88605664769316 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC000481" "TC000481" "ChLG2" 1 1 0 0 "Single shift" "synonymous_variant" "LOW" 0.025985213022124 0.025985213022124 0 0 0 0 0 0 1 "ChLG2" 13389057 13392487 -0.163184131743685 -4.22e-05 -0.163141931743685 -0.787322074940084 -4.37468754903833 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC000485" "TC000485" "ChLG2" 1 1 0 0 "Single shift" "synonymous_variant" "LOW" 0.0961984450629465 0.0961984450629465 0 0 0 0 0 0 1 "ChLG2" 13051416 13054659 0.058340517613324 7.17e-05 0.058268817613324 -1.23402972201557 -4.1444808443322 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC000502" "TC000502" "ChLG2" 3 1 1 0 "Partial/full parallelism" "missense_variant" "MODERATE" 0.0741287236093911 0.0741287236093911 0 0 0 0 0 0 1 "ChLG2" 12891269 12892764 0.150184293818952 -1.52e-05 0.150199493818952 -0.823375483206831 -4.81815641205523 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC000504" "TC000504" "ChLG2" 4 1 1 0 "Partial/full parallelism" "synonymous_variant" "LOW" 0.149516559100205 0.149516559100205 0 0 0 0 0 0 1 "ChLG2" 12865375 12868211 0.288955346874116 7.4e-06 0.288947946874116 -0.539169264871454 -5.13076828026902 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC000505" "TC000505" "ChLG2" 3 1 1 0 "Partial/full parallelism" "synonymous_variant" "LOW" 0.135097047789477 0.135097047789477 0 0 0 0 0 0 1 "ChLG2" 12860312 12862195 0.703846521391343 2.33e-06 0.703844191391343 -0.152522031453888 -5.63264407897398 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC000537" "TC000537" "ChLG2" 2 1 1 0 "Partial/full parallelism" "missense_variant" "MODERATE" 0.0721255840652522 0.0721255840652522 0 0 0 0 0 0 1 "ChLG2" 12454696 12456280 0.172333522996991 3.99e-06 0.172329532996991 -0.763630233657627 -5.39902710431325 0 "Other" 1 "eQTL phenotype" "Other" 0 "Non-eQTL carrier" 2 "Low connectivity"
"TC000572" "TC000572" "ChLG2" 3 1 1 0 "Partial/full parallelism" "missense_variant" "MODERATE" 0.0100952163821922 0.0100952163821922 0 0 0 0 0 0 1 "ChLG2" 11938151 11950379 -0.422504862551834 -2.45e-06 -0.422502412551834 -0.374168288448544 -5.61083391563547 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC000590" "TC000590" "ChLG2" 1 1 0 0 "Single shift" "upstream_gene_variant" "MODIFIER" 0.0661665916470522 0.0661665916470522 0 0 0 0 0 0 1 "ChLG2" 11688940 11691479 -0.204269021017015 -1.51e-05 -0.204253921017015 -0.689797492503703 -4.82102305270683 0 "Other" 1 "eQTL phenotype" "Other" 0 "Non-eQTL carrier" 1 "Low connectivity"
"TC000641" "TC000641" "ChLG2" 2 1 1 0 "Partial/full parallelism" "synonymous_variant" "LOW" 0.0508940316710833 0.0508940316710833 0 0 0 0 0 0 1 "ChLG2" 10440722 10445130 -0.315095199755892 -9.24e-07 -0.315094275755892 -0.501558212933291 -6.03432802877989 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC000678" "TC000678" "ChLG2" 1 1 0 0 "Single shift" "synonymous_variant" "LOW" -0.0550209688170624 0.0550209688170624 0 0 0 0 0 0 1 "ChLG2" 9442646 9443641 -0.085750564542716 3.76e-07 -0.085750940542716 -1.06676301207844 -6.42481215507234 0 "Other" 1 "eQTL phenotype" "Other" 0 "Non-eQTL carrier" 1 "Low connectivity"
"TC000759" "TC000759" "ChLG2" 2 1 1 0 "Partial/full parallelism" "synonymous_variant" "LOW" 0.0447630354758414 0.0447630354758414 0 0 0 0 0 0 1 "ChLG2" 7668949 7673083 0.038548379131812 -9.47e-06 0.038557849131812 -1.41399387828512 -5.02365002099673 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC000760" "TC000760" "ChLG2" 2 1 1 0 "Partial/full parallelism" "missense_variant" "MODERATE" -0.121369209407567 0.121369209407567 0 0 0 0 0 0 1 "ChLG2" 7660749 7662509 0.670551177897868 4.37e-08 0.670551134197868 -0.17356807026512 -7.35951856302958 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC000773" "TC000773" "ChLG2" 4 1 1 0 "Partial/full parallelism" "upstream_gene_variant" "MODIFIER" -0.0685424696559925 0.0685424696559925 0 0 0 0 0 0 1 "ChLG2" 7506270 7507161 -0.021482369418614 -1.99e-05 -0.021462469418614 -1.66791781940271 -4.70114692359029 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC000790" "TC000790" "ChLG2" 0 0 0 0 "No shift" "synonymous_variant" "LOW" 0.0370781111180328 0.0370781111180328 0 0 0 0 0 0 1 "ChLG2" 7515807 7516454 0.155135904326697 -1.22e-05 0.155148104326697 -0.809287678353962 -4.91364016932525 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC000804" "TC000804" "ChLG2" 3 1 1 0 "Partial/full parallelism" "synonymous_variant" "LOW" -0.0196810459866894 0.0196810459866894 0 0 0 0 0 0 1 "ChLG2" 7686866 7688956 -0.815159118715608 -2.23e-07 -0.815158895715608 -0.0887576088856132 -6.65169513695184 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC000806" "TC000806" "ChLG2" 1 1 0 0 "Single shift" "synonymous_variant" "LOW" 0.0333875823466038 0.0333875823466038 0 0 0 0 0 0 1 "ChLG2" 7701562 7701938 -0.046117901617782 -0.000233825812709 -0.045884075805073 -1.33613046149335 -3.63110754750143 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC000985" "TC000985" "ChLG2" 3 1 1 0 "Partial/full parallelism" "missense_variant" "MODERATE" -0.0858945334102605 0.0858945334102605 0 0 0 0 0 0 1 "ChLG2" 11692132 11692667 0.092286778541895 1.84e-05 0.092268378541895 -1.03486051368256 -4.73518217699046 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC000992" "TC000992" "ChLG2" 0 0 0 0 "No shift" "missense_variant" "MODERATE" -0.0573619729991722 0.0573619729991722 0 0 0 0 0 0 1 "ChLG2" 11821539 11822199 0.092703723613684 -1.87e-07 0.092703910613684 -1.03290282127732 -6.7281583934635 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC000995" "TC000995" "ChLG2" 3 1 1 0 "Partial/full parallelism" "missense_variant" "MODERATE" 0.0550717931105954 0.0550717931105954 0 0 0 0 0 0 1 "ChLG2" 11834024 11843196 -0.366140928188658 -1.48e-05 -0.366126128188658 -0.436351721834148 -4.82973828460504 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC001035" "TC001035" "ChLG2" 3 1 1 0 "Partial/full parallelism" "synonymous_variant" "LOW" -0.0177023466522267 0.0177023466522267 0 0 0 0 0 0 1 "ChLG2" 12359025 12364966 -0.045057820529464 -2.54e-06 -0.045055280529464 -1.34622981915722 -5.59516628338006 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC001058" "TC001058" "ChLG2" 3 1 1 0 "Partial/full parallelism" "missense_variant" "MODERATE" -0.0721890553022838 0.0721890553022838 0 0 0 0 0 0 1 "ChLG2" 12642515 12645896 -0.174279445802152 -7.93e-06 -0.174271515802152 -0.758753829763653 -5.1007268126824 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC001072" "TC001072" "ChLG2" 3 1 1 0 "Partial/full parallelism" "synonymous_variant" "LOW" 0.000951236408604006 0.000951236408604006 0 0 0 0 0 0 1 "ChLG2" 12853282 12860150 -0.022729977613098 3.64e-06 -0.022733617613098 -1.64340099201426 -5.43889861635094 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC001073" "TC001073" "ChLG2" 2 1 1 0 "Partial/full parallelism" "synonymous_variant" "LOW" 0.0422311561389887 0.0422311561389887 0 0 0 0 0 0 1 "ChLG2" 12863067 12865125 -0.092656044567637 -4.76e-06 -0.092651284567637 -1.03312624351463 -5.32239304727951 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC001087" "TC001087" "ChLG2" 3 1 1 0 "Partial/full parallelism" "synonymous_variant" "LOW" 0.0242244392764841 0.0242244392764841 0 0 0 0 0 0 1 "ChLG2" 13058654 13072029 -0.118848687851831 1.36e-05 -0.118862287851831 -0.925005608734749 -4.86646109162978 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC001089" "TC001089" "ChLG2" 1 1 0 0 "Single shift" "synonymous_variant" "LOW" 0.0627553904406096 0.0627553904406096 0 0 0 0 0 0 1 "ChLG2" 13421430 13423383 -0.00208444433104 -1.35e-05 -0.00207094433104 -2.68100969902412 -4.86966623150499 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC001103" "TC001103" "ChLG2" 1 1 0 0 "Single shift" "synonymous_variant" "LOW" 0.0680000964924727 0.0680000964924727 0 0 0 0 0 0 1 "ChLG2" 13600821 13606280 0.312903296019572 1.4e-06 0.312901896019572 -0.504589862115637 -5.85387196432176 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC001108" "TC001108" "ChLG2" 1 1 0 0 "Single shift" "missense_variant" "MODERATE" -0.358727176773999 0.358727176773999 0 0 0 0 0 0 1 "ChLG2" 13664593 13670152 -0.287403678841708 6.31e-07 -0.287404309841708 -0.541507677084089 -6.19997064075587 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC001109" "TC001109" "ChLG2" 3 1 1 0 "Partial/full parallelism" "synonymous_variant" "LOW" -0.0332889988327853 0.0332889988327853 0 0 0 0 0 0 1 "ChLG2" 13685545 13698818 -0.705974386039103 -2.26e-05 -0.705951786039103 -0.151211055610624 -4.6458915608526 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC001192" "TC001192" "ChLG2" 2 1 1 0 "Partial/full parallelism" "upstream_gene_variant" "MODIFIER" -0.0512023384594059 0.0512023384594059 0 0 0 0 0 0 1 "ChLG2" 15001068 15002084 0.610338256186786 1.03e-05 0.610327956186786 -0.214429407480553 -4.98716277529483 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC001193" "TC001193" "ChLG2" 3 1 1 0 "Partial/full parallelism" "synonymous_variant" "LOW" 0.115432390508423 0.115432390508423 0 0 0 0 0 0 1 "ChLG2" 15004110 15008623 0.018730433532776 2.45e-06 0.018727983532776 -1.72745217037098 -5.61083391563547 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC001195" "TC001195" "ChLG2" 2 1 1 0 "Partial/full parallelism" "synonymous_variant" "LOW" -0.190268433296122 0.190268433296122 0 0 0 0 0 0 1 "ChLG2" 15020822 15022202 -0.003930580559063 7.31e-06 -0.003937890559063 -2.40554329823116 -5.13608262304214 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC001231" "TC001231" "ChLG2" 2 1 1 0 "Partial/full parallelism" "synonymous_variant" "LOW" 0.00575516473818282 0.00575516473818282 0 0 0 0 0 0 1 "ChLG2" 16171061 16174067 0.129689424408634 3.79e-05 0.129651524408634 -0.887095437240778 -4.42136079003193 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC001259" "TC001259" "ChLG2" 4 1 1 0 "Partial/full parallelism" "synonymous_variant" "LOW" 0.194109533201281 0.194109533201281 0 0 0 0 0 0 1 "ChLG2" 16772363 16775805 -0.225206161289543 -2.43e-07 -0.225205918289543 -0.647419732038069 -6.61439372640169 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC001323" "TC001323" "ChLG2" 1 1 0 0 "Single shift" "missense_variant" "MODERATE" -0.0498139866248436 0.0498139866248436 0 0 0 0 0 0 1 "ChLG2" 19126966 19131274 -0.456188130253832 -6.95e-06 -0.456181180253832 -0.340856018998709 -5.15801519540989 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC001569" "TC001569" "ChLG3" 3 1 1 0 "Partial/full parallelism" "upstream_gene_variant" "MODIFIER" -0.173368151793104 0.173368151793104 0 0 0 0 0 0 1 "ChLG3" 4466474 4468385 0.028717362690941 -3.14e-05 0.028748762690941 -1.54185544678918 -4.50307035192678 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC001601" "TC001601" "ChLGX" 3 1 1 0 "Partial/full parallelism" "synonymous_variant" "LOW" 0.0606136087086723 0.0606136087086723 0 0 0 0 0 0 1 "ChLGX" 1867926 1872923 -0.015101899098582 2.87e-05 -0.015130599098582 -1.82096843574164 -4.54211810326601 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC001604" "TC001604" "ChLGX" 3 1 1 0 "Partial/full parallelism" "missense_variant" "MODERATE" 0.110076069092498 0.110076069092498 0 0 0 0 0 0 1 "ChLGX" 1821583 1826946 -0.059442970211159 3.12e-05 -0.059474170211159 -1.22589949813563 -4.50584540598156 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC001607" "TC001607" "ChLGX" 4 1 1 0 "Partial/full parallelism" "synonymous_variant" "LOW" -0.101745920394668 0.101745920394668 0 0 0 0 0 0 1 "ChLGX" 1803918 1808156 0.059264122079524 3.03e-05 0.059233822079524 -1.2272081447201 -4.5185573714977 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC001611" "TC001611" "ChLGX" 5 1 0 1 "Partial/full parallelism" "synonymous_variant" "LOW" -0.0312128838261725 0.0312128838261725 0 0 0 0 0 0 1 "ChLGX" 1757777 1761014 1.41466053096701 3.37e-06 1.41465716096701 0.15065223688126 -5.47237009912866 1 "eQTL carrier" 0 "Other" "Other" 1 "Single-phenotype eQTL carrier" 0 "Non-eQTL phenotype"
"TC001612" "TC001612" "ChLGX" 2 1 1 0 "Partial/full parallelism" "synonymous_variant" "LOW" 0.0518598692771437 0.0518598692771437 0 0 0 0 0 0 1 "ChLGX" 1753891 1755250 -0.05201316548069 -1.57e-05 -0.05199746548069 -1.28388671459736 -4.80410034759077 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC001616" "TC001616" "ChLGX" 1 1 0 0 "Single shift" "upstream_gene_variant" "MODIFIER" 0.00798831146323301 0.00798831146323301 0 0 0 0 0 0 1 "ChLGX" 1698693 1710395 0.12369529970587 3.8e-06 0.12369149970587 -0.90764680280085 -5.42021640338319 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC001617" "TC001617" "ChLGX" 5 1 1 1 "Partial/full parallelism" "synonymous_variant" "LOW" -0.0731720882657377 0.0731720882657377 0 0 0 0 0 0 1 "ChLGX" 1692750 1694180 -0.008486194416791 7.03e-06 -0.008493224416791 -2.07128702286727 -5.15304467498018 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC001624" "TC001624" "ChLGX" 3 1 1 0 "Partial/full parallelism" "missense_variant" "MODERATE" -0.0435734084100689 0.0435734084100689 0 0 0 0 0 0 1 "ChLGX" 1736834 1740213 -0.031511125649914 -2.96e-05 -0.031481525649914 -1.50153608255071 -4.52870828894106 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC001629" "TC001629" "ChLGX" 4 1 1 0 "Partial/full parallelism" "missense_variant" "MODERATE" -0.140591760399076 0.140591760399076 0 0 0 0 0 0 1 "ChLGX" 1797760 1799435 0.097772084614302 7.88e-05 0.097693284614302 -1.00978512505415 -4.10347378251045 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC001634" "TC001634" "ChLGX" 4 1 1 0 "Partial/full parallelism" "synonymous_variant" "LOW" -0.0457337359329382 0.0457337359329382 0 0 0 0 0 0 1 "ChLGX" 1841643 1844683 0.185106395996696 1.87e-05 0.185087695996696 -0.732578574774481 -4.7281583934635 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
